,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName
0,track,music-video,136975,1441133180,1441134703,The Beatles,The Beatles (The White Album),The Beatles,The Beatles (The White Album),The Beatles (Documentary),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/music-video/the-beatles-documentary/1441134703?uo=4,https://music.apple.com/us/music-video/the-beatles-documentary/1441134703?uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/32/a2/13/32a21383-7e17-e8ae-e0e0-bf6b78144fc0/mzvf_7037047804382233330.640x478.h264lc.U.p.m4v,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/99/45/26/99452619-7170-6390-a0b9-81ca068e02f7/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/99/45/26/99452619-7170-6390-a0b9-81ca068e02f7/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/99/45/26/99452619-7170-6390-a0b9-81ca068e02f7/source/100x100bb.jpg,12.99,1.99,2019-05-22T07:00:00Z,notExplicit,notExplicit,3,3,32,1,331490,USA,USD,Pop,,
1,track,music-video,136975,1441164604,1441165171,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Documentary),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/music-video/sgt-peppers-lonely-hearts-club-band-documentary/1441165171?uo=4,https://music.apple.com/us/music-video/sgt-peppers-lonely-hearts-club-band-documentary/1441165171?uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/8d/74/1b/8d741b7f-065c-9ca4-bb11-eea38036f0ed/mzvf_7632512548032049898.640x480.h264lc.U.p.m4v,https://is1-ssl.mzstatic.com/image/thumb/Video62/v4/cc/8f/7b/cc8f7b9a-27d3-8067-c489-51a5983d2135/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Video62/v4/cc/8f/7b/cc8f7b9a-27d3-8067-c489-51a5983d2135/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Video62/v4/cc/8f/7b/cc8f7b9a-27d3-8067-c489-51a5983d2135/source/100x100bb.jpg,7.99,1.99,2019-05-22T07:00:00Z,notExplicit,notExplicit,1,1,15,14,248480,USA,USD,Pop,,
2,track,music-video,136975,1441164359,1441164850,The Beatles,Rubber Soul,Rubber Soul,Rubber Soul,Rubber Soul (Documentary),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/music-video/rubber-soul-documentary/1441164850?uo=4,https://music.apple.com/us/music-video/rubber-soul-documentary/1441164850?uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/67/f1/0e/67f10e34-9ad9-e7d7-ad48-4ec42da74b6b/mzvf_4470525888351062244.640x480.h264lc.U.p.m4v,https://is4-ssl.mzstatic.com/image/thumb/Video62/v4/1d/5e/6a/1d5e6a4c-0bf2-08d3-b298-182a3e8c0217/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Video62/v4/1d/5e/6a/1d5e6a4c-0bf2-08d3-b298-182a3e8c0217/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Video62/v4/1d/5e/6a/1d5e6a4c-0bf2-08d3-b298-182a3e8c0217/source/100x100bb.jpg,7.99,1.99,2019-05-22T07:00:00Z,notExplicit,notExplicit,1,1,16,15,198000,USA,USD,Pop,,
3,track,music-video,136975,1441164670,1441165242,The Beatles,Revolver,Revolver,Revolver,Revolver (Documentary),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/music-video/revolver-documentary/1441165242?uo=4,https://music.apple.com/us/music-video/revolver-documentary/1441165242?uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/d7/a7/89/d7a7891f-4e42-0e92-545c-ea6f1496b144/mzvf_2971689869222531886.640x480.h264lc.U.p.m4v,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/32/09/58/32095813-c73a-991a-5d34-d26ae0781fae/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/32/09/58/32095813-c73a-991a-5d34-d26ae0781fae/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Video118/v4/32/09/58/32095813-c73a-991a-5d34-d26ae0781fae/source/100x100bb.jpg,7.99,1.99,2019-05-22T07:00:00Z,notExplicit,notExplicit,1,1,16,15,233000,USA,USD,Pop,,
4,track,song,136975,1474815798,1474815898,The Beatles,Abbey Road (2019 Mix),Here Comes the Sun,Abbey Road (2019 Mix),Here Comes the Sun (2019 Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://music.apple.com/us/album/here-comes-the-sun-2019-mix/1474815798?i=1474815898&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/a4/d6/36/a4d6368e-731a-b2dc-d1a2-786e7886fbc1/mzaf_10527553788341453800.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/100x100bb.jpg,7.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,1,1,17,7,185707,USA,USD,Rock,False,
5,track,song,136975,1474815798,1474815799,The Beatles,Abbey Road (2019 Mix),Come Together,Abbey Road (2019 Mix),Come Together (2019 Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/come-together-2019-mix/1474815798?i=1474815799&uo=4,https://music.apple.com/us/album/come-together-2019-mix/1474815798?i=1474815799&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/3b/63/fb/3b63fbd0-d512-fa28-0278-8d0d4f01adad/mzaf_11251898970775172830.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/6e/db/f5/6edbf5a8-b990-8f89-af12-8cc464f03da1/source/100x100bb.jpg,7.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,1,1,17,1,260200,USA,USD,Rock,False,
6,track,song,136975,1440833098,1440834224,The Beatles,1 (2015 Version),Hey Jude,1 (2015 Version),Hey Jude (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude-2015-stereo-mix/1440833098?i=1440834224&uo=4,https://music.apple.com/us/album/hey-jude-2015-stereo-mix/1440833098?i=1440834224&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/73/ac/8c/73ac8cf8-56db-34c6-10e6-8ff93f81b3c6/mzaf_7985505075688381983.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/100x100bb.jpg,9.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,1,1,27,21,425653,USA,USD,Rock,True,
7,track,song,136975,1440833098,1440833920,The Beatles,1 (2015 Version),All You Need Is Love,1 (2015 Version),All You Need Is Love (2015 Stereo Mix),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/all-you-need-is-love-2015-stereo-mix/1440833098?i=1440833920&uo=4,https://music.apple.com/us/album/all-you-need-is-love-2015-stereo-mix/1440833098?i=1440833920&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/54/63/95/546395be-470a-be70-04d6-3b47951cad90/mzaf_8116058566388765711.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/0e/9b/d1/0e9bd186-2bb4-af3f-f4d0-62feb7a556da/source/100x100bb.jpg,9.99,1.29,1967-07-07T12:00:00Z,notExplicit,notExplicit,1,1,27,18,227760,USA,USD,Rock,True,
8,track,song,136975,1441133100,1441133277,The Beatles,The Beatles 1967-1970 (The Blue Album),Hey Jude,The Beatles 1967-1970 (The Blue Album),Hey Jude,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/3a/10/49/3a10492d-3398-8ac3-536a-28f4fa4221d9/mzaf_3774318058101163645.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/27/70/11/2770116d-0a57-f107-ba91-bd3679d44e5f/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/27/70/11/2770116d-0a57-f107-ba91-bd3679d44e5f/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/27/70/11/2770116d-0a57-f107-ba91-bd3679d44e5f/source/100x100bb.jpg,12.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,2,1,14,13,431333,USA,USD,Rock,True,
9,track,song,136975,1441164495,1441164738,The Beatles,Let It Be,Let It Be,Let It Be,Let It Be,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/let-it-be/1441164495?i=1441164738&uo=4,https://music.apple.com/us/album/let-it-be/1441164495?i=1441164738&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/01/ff/05/01ff05d6-7892-4176-5efb-41a5438802d7/mzaf_8251314256578817405.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/63/9b/2c/639b2caf-0186-39c3-b165-cac5eae1f38e/source/100x100bb.jpg,7.99,1.29,1970-03-06T12:00:00Z,notExplicit,notExplicit,1,1,12,6,243027,USA,USD,Rock,True,
